vid,score,w,h
e09757iglo1,2,540.0,960.0
f3110atj1id,2,486.0,864.0
f3103rrc7se,2,486.0,864.0
b3106bj1dms,2,864.0,486.0
j00342nr73d,2,486.0,862.0
w3112hm1lsq,2,540.0,960.0
b3152ggu6pq,2,486.0,858.0
u31324jf21o,2,486.0,864.0
g31019vmijw,2,486.0,864.0
v3136q0fp93,2,864.0,486.0
w0034gb0o95,2,864.0,486.0
g3101zwwvw8,2,486.0,864.0
j31382cjcmc,2,864.0,486.0
o31253ro2n5,2,864.0,486.0
e3114vcsquc,2,540.0,960.0
t310057irva,2,486.0,864.0
v308019he44,2,864.0,486.0
u3136ucn9n7,2,486.0,864.0
y3123s6wdbr,2,486.0,864.0
v3116ur4tan,2,540.0,960.0
b3105jdy1x1,2,540.0,960.0
m3117mf3bp5,2,864.0,486.0
n3110me5ojm,2,486.0,864.0
d31030zw783,2,540.0,960.0
y3115rmzhm5,2,486.0,864.0
r31294clvz4,2,486.0,854.0
l31021rxafb,2,540.0,960.0
z3141m4ngb7,2,486.0,864.0
u3120cto36m,2,486.0,864.0
p3152e6aa8m,2,486.0,864.0
s3078dsusle,2,540.0,960.0
d0979ajob4d,2,486.0,864.0
b3112gv7r0s,2,486.0,864.0
m3081r7x3tp,2,486.0,864.0
d310193fuxy,2,486.0,864.0
l3139y9trfx,2,864.0,486.0
d3131pfqc3k,2,476.0,864.0
d31133ocopq,2,540.0,960.0
l0978ka1ato,2,540.0,960.0
s3115deqah2,2,540.0,960.0
r31330gfdri,2,486.0,858.0
j3139y5ftoh,2,540.0,960.0
y3111k929fs,2,486.0,864.0
h3082i3j4fo,2,540.0,960.0
j0975piz0rp,2,486.0,864.0
v3106h69bna,2,864.0,486.0
h31080pu0yr,2,486.0,864.0
u3107mgriwc,2,486.0,864.0
n3122ez16hh,2,540.0,960.0
f3112btll9k,2,486.0,864.0
t3082epp6em,2,540.0,960.0
v31056k5jza,2,486.0,864.0
g3147y8teii,2,486.0,864.0
k3143akh3lo,2,864.0,486.0
h3101j9xcqo,2,486.0,864.0
m3146j9pg91,2,486.0,864.0
z31098gwp3k,2,540.0,960.0
j0975espq9i,2,864.0,486.0
b0977zaffu8,2,486.0,864.0
v3131wamw3a,2,486.0,858.0
u3111uf5wx9,2,486.0,864.0
i09800a9gfc,2,486.0,864.0
f0975720hr7,2,486.0,864.0
q09760qhf6z,2,486.0,864.0
n0974238919,2,486.0,864.0
u3109mb1yv5,2,540.0,960.0
n3078oaooz1,2,864.0,486.0
q3112nwoqee,2,540.0,960.0
h3110abhedt,2,540.0,960.0
o3148sh2soc,2,486.0,864.0
o3109br7ik8,2,486.0,864.0
i0977fg9pra,2,864.0,486.0
i3078ual9ur,2,486.0,864.0
l3105v54rqq,2,486.0,864.0
a09766qzflo,2,486.0,864.0
z3107t2u08o,2,486.0,864.0
i3129ucz7nh,2,486.0,864.0
z3104ype2ds,2,864.0,486.0
w3147sl5bax,2,486.0,864.0
n3110derfyl,2,864.0,486.0
x0975ftcoyq,2,486.0,864.0
u3145knrgmf,2,864.0,486.0
m0979y2h9kv,2,540.0,960.0
m31150kuidd,2,864.0,486.0
u0980zet23g,2,486.0,864.0
h3110o0p6ek,2,540.0,960.0
a3136kh5abd,2,864.0,486.0
m3137jlehme,2,864.0,486.0
w31168d4zxd,2,540.0,960.0
i3101vsgfx2,2,486.0,864.0
b0976s8ppa4,2,540.0,960.0
g0034zzeim7,2,486.0,864.0
w3104aqmfzc,2,486.0,864.0
c3108i75z7f,2,540.0,960.0
v3154t695f7,2,864.0,486.0
o3109xt70x6,2,486.0,864.0
e0976bciq4v,2,486.0,864.0
u3110hkxcp3,2,540.0,960.0
u3103tthkur,2,486.0,864.0
y31026vkno8,2,486.0,864.0
t09790tro6n,2,486.0,864.0
n313503mre0,2,486.0,864.0
s3107gpzh1v,2,486.0,864.0
h0976qo7u1m,2,540.0,960.0
i31436c2y3s,2,486.0,864.0
n0979l7cz9l,2,864.0,486.0
r3080c445xa,2,864.0,486.0
b31143fjoih,2,486.0,864.0
t3122fes0b6,2,540.0,960.0
u0975qrh5lg,2,540.0,960.0
f3113tcuttg,2,864.0,486.0
b3107uf4voj,2,540.0,960.0
g0975v44lyx,2,486.0,864.0
p308220vsk8,2,540.0,960.0
b3141y9be5u,2,540.0,960.0
h3111tt48dw,2,540.0,960.0
n3132a1yjvg,2,864.0,486.0
i3115loi9zz,2,864.0,486.0
f3111mbtu9t,2,486.0,864.0
d31532rfjo3,2,540.0,960.0
a30829xodj9,2,486.0,864.0
f3118ytkail,2,540.0,960.0
b3137n2j6n2,2,864.0,486.0
p3111hvqbo6,2,864.0,486.0
s00349lb6yx,2,486.0,864.0
v3152nkmbj5,2,864.0,486.0
x0034t5kccf,2,486.0,864.0
v0976j1ozpc,2,864.0,486.0
l3110akov0x,2,540.0,960.0
i0978vewezz,2,486.0,864.0
i3104tothjx,2,486.0,864.0
o3152llrdgl,2,486.0,864.0
r31525g7263,2,540.0,960.0
b3102zheg5t,2,864.0,486.0
b3115ekwkv0,2,540.0,960.0
g31114582ec,2,540.0,960.0
w3113e5dw0d,2,540.0,960.0
e3080545a26,2,864.0,486.0
s0977t2esy0,2,864.0,486.0
v3148dk6008,2,486.0,864.0
a31090pkk85,2,864.0,486.0
o3119tltf1p,2,486.0,864.0
u3080ee7d0t,2,864.0,486.0
v098039736r,2,540.0,960.0
h3105go849b,2,540.0,960.0
i3079aiyqzh,2,864.0,486.0
d3108e99uxz,2,486.0,864.0
s3111gq0d0r,2,486.0,864.0
i30809q9oeq,2,864.0,486.0
y31006yn2yd,2,540.0,960.0
u0977taduky,2,486.0,864.0
d3118co9dra,2,540.0,960.0
b3148ti5wbw,2,864.0,486.0
o3147nkdhaj,2,486.0,864.0
i310066kyic,2,486.0,864.0
q0980vyu1gr,2,864.0,486.0
t3103hz9sms,2,486.0,864.0
v3102i730zz,2,486.0,864.0
j3108wchk84,2,486.0,864.0
d097482qkcl,2,486.0,864.0
u09799gruqr,2,864.0,486.0
i3152xvh31u,2,486.0,864.0
v3112hlirlp,2,540.0,960.0
b3121778bof,2,540.0,960.0
i3081skjqkm,2,864.0,486.0
f3117lm3g2o,2,864.0,486.0
n31487q956e,2,486.0,864.0
c31105srmxi,2,540.0,960.0
b31258ih68f,2,864.0,486.0
h30796ftsst,2,486.0,864.0
j314281ddcj,2,864.0,486.0
f09756mds35,2,486.0,864.0
p3134wng588,2,486.0,864.0
x3105lr7uzi,2,540.0,960.0
r3115ec92le,2,540.0,960.0
c3141etozvh,2,486.0,864.0
x09784n83y8,2,486.0,864.0
t3133iusv29,2,864.0,486.0
b3114baciy1,2,486.0,864.0
u3138se9jg2,2,486.0,864.0
v00341ac9yn,2,486.0,862.0
r31501urs4u,2,486.0,864.0
g3116abfgva,2,540.0,960.0
y0975dropqp,2,540.0,960.0
k31189v4i8s,2,864.0,486.0
t31153vewm9,2,540.0,960.0
c3149yam39v,2,864.0,486.0
d3118j87l96,2,540.0,960.0
k3110v7c4bi,2,486.0,864.0
g3104g7tef5,2,486.0,864.0
x3111hq0tba,2,540.0,960.0
r3139993kin,2,486.0,864.0
w31217hi09r,2,540.0,960.0
g3102ca6a08,2,864.0,486.0
n3127qtvzje,2,864.0,486.0
l31071zp08i,2,540.0,960.0
y3104z598qb,2,540.0,960.0
z3113nntskz,2,540.0,960.0
s3100gya7hg,2,486.0,864.0
s3104h5cttc,2,540.0,960.0
k3080fp04ig,2,486.0,864.0
t31198x8ov4,2,486.0,864.0
l3138yu4ni1,2,486.0,864.0
q31185gzplz,2,540.0,952.0
k3100hsajsv,2,864.0,486.0
r3124qeouth,2,540.0,960.0
v3106bk2xg7,2,540.0,960.0
w310809ezba,2,864.0,486.0
j3082z4p1z7,2,864.0,486.0
c3105nt991v,2,486.0,864.0
f0979sjlsk0,2,540.0,960.0
y3116ogemmu,2,486.0,858.0
z3146pxdzvb,2,486.0,864.0
e0975x7xnq4,2,540.0,960.0
s0975sf9tjy,2,486.0,864.0
o31013cmfbq,2,864.0,486.0
v31108bhbxo,2,540.0,960.0
z0975iuj5im,2,486.0,864.0
t0976sfqfcv,2,540.0,960.0
v3103oyt5g1,2,864.0,486.0
w0977y0q2vh,2,540.0,960.0
v3105hvht2u,2,540.0,960.0
z0976nsarly,2,540.0,960.0
m31246wvnj9,2,864.0,486.0
x3115h8ffy0,2,486.0,864.0
j0034rt7n7e,2,864.0,486.0
t3100lel42y,2,864.0,486.0
t30806q0l3s,2,486.0,864.0
u3152tq7yd0,2,486.0,864.0
j3105658w0l,2,486.0,864.0
g3144s4l5we,2,486.0,864.0
e0979l607uw,2,540.0,960.0
b3130jmufmi,2,540.0,960.0
k31003tnb26,2,486.0,864.0
r3108et90nf,2,540.0,952.0
z3129f7vwz6,2,486.0,864.0
p0980bdl9ch,2,540.0,960.0
l3114k8ec5h,2,486.0,864.0
g3109mrya1z,2,486.0,864.0
k3080pqfc0w,2,864.0,486.0
t0980iu2gn1,2,486.0,864.0
a31172a6v3y,2,486.0,864.0
z0979tx9mmr,2,486.0,790.0
b3102dbdeky,2,540.0,960.0
e3103cjak39,2,486.0,864.0
z3081n10hsl,2,486.0,864.0
d31094yciex,2,540.0,960.0
