vid,score,lengh,w,h
b314917536a,2,649.0,486.0,864.0
p0034nel5yi,2,373.0,486.0,864.0
i0978t5ky6m,2,634.0,540.0,960.0
c3150mcqgri,2,744.0,486.0,864.0
m3152oaci2q,2,341.0,486.0,864.0
u3104cgq9yt,2,1906.0,864.0,486.0
y31472kjtc3,2,3119.0,864.0,486.0
y31495nzzzr,2,1551.0,864.0,486.0
w3149qgh79c,2,1588.0,864.0,486.0
a3125j6hc6j,2,522.0,486.0,864.0
j0976oh4gzw,2,2143.0,864.0,486.0
c3141rapz9x,2,632.0,486.0,864.0
i31123oxjp1,2,1512.0,540.0,960.0
e3124aq4a3q,2,916.0,540.0,960.0
w3080qhymwv,2,261.0,486.0,864.0
b3110isrrx7,2,288.0,540.0,960.0
b3108s8ew6u,2,1723.0,864.0,486.0
w3133o054pg,2,1578.0,864.0,486.0
u3143unbvz9,2,406.0,540.0,960.0
u09808lnw7q,2,271.0,540.0,960.0
n0975qcdwtk,2,311.0,540.0,960.0
n3116ev485p,2,566.0,486.0,864.0
s3078ho2k1c,2,1037.0,486.0,864.0
m0034ic9nv8,2,420.0,486.0,864.0
o0977zgh4qr,2,250.0,540.0,960.0
w310175awl9,2,331.0,486.0,864.0
t31042mie6f,2,391.0,540.0,960.0
o3107fcbbmf,2,759.0,486.0,864.0
k3110vsqg90,2,999.0,540.0,960.0
x3130xswx4z,2,393.0,486.0,864.0
u3103xuwewu,2,587.0,864.0,486.0
a0975nrqm4k,2,1537.0,864.0,486.0
d3128jo36az,2,21721.0,864.0,486.0
d31016oozar,2,513.0,540.0,960.0
n3082uw2g1u,2,587.0,540.0,960.0
a31367k0ga6,2,892.0,864.0,486.0
o3118e12eg7,2,4558.0,864.0,486.0
t3123edi7ce,2,314.0,486.0,864.0
x311226fvh7,2,608.0,486.0,864.0
y3113dfknry,2,333.0,486.0,864.0
n31360y6glk,2,1578.0,864.0,486.0
v3080qdf4nq,2,367.0,540.0,960.0
f31465c7sh8,2,641.0,864.0,486.0
